Symbol,Name,Price,"Assets
Suspect?","Rev.
Suspect?","PPE
Suspect?","ROE
Low?","No
Dopeler
Book
Value?","Dopeler
ROE
(Ave.)","Dopeler
ROE
(Lowball)","Dopeler
P/B","Dopeler
PE","Dopeler
Yield","Dopeler
Book
Value","Dopeler
EPS","Net
Liquidity/Share",Sector,Industry,"Assets
(billions,
SmartMoney)","Assets
(billions,
Yahoo)","Assets
Ratio
(dB)","Revenue
(billions,
SmartMoney)","Revenue
(billions,
Yahoo)","Revenue
Ratio
(dB)","PPE
Growth
(dB)","PPE
Growth
Std.
Dev
(dB)","Dopeler
ROE
(rel.
std.
dev.)","Dopeler
ROE (Y1)","Dopeler
ROE (Y2)","Dopeler
ROE (Y3)","Dopeler
ROE (Y4)"
PSEM,Pericom Semiconductor Corporation,6.95,False,False,False,True,False,0.233,0.045,0.52,4.1,0.246,13.25,1.061,2.64,Technology,Semiconductors,0.275806,0.275806,0.000,0.137135,0.137135,0.000,0.580,0.575,0.703,0.192,0.253,0.045,0.440
JCS,"Communications Systems, Inc.",11.06,False,False,False,False,False,0.394,0.250,0.53,4.6,0.218,21.04,1.845,2.60,Public Utilities,Telecommunications Equipment,0.116658,0.116659,0.000,0.143775,0.143775,0.000,-0.070,0.376,0.318,0.491,0.329,0.507,0.250
MFLX,"Multi-Fineline Electronix, Inc.",16.49,False,False,False,True,False,0.190,0.073,0.53,6.1,0.163,31.35,3.859,-7.24,Technology,Electrical Products,0.69641,0.69641,0.000,0.818932,0.818932,0.000,0.706,0.375,0.744,0.073,0.107,0.192,0.388
CSGS,"CSG Systems International, Inc.",18.73,False,False,False,False,False,1.003,0.616,0.53,6.4,0.156,35.49,4.680,-11.31,Technology,EDP Services,0.814897,0.814897,0.000,0.734731,0.734731,0.000,0.468,0.357,0.388,0.546,0.814,1.314,1.339
CSTR,"Coinstar, Inc.",49.57,False,False,False,True,False,0.330,0.097,0.53,6.1,0.164,93.80,11.352,-19.72,Consumer Services,Other Consumer Services,1.46795,1.46795,0.000,1.845372,1.845372,0.000,0.991,0.781,0.480,0.450,0.373,0.097,0.399
LOGI,Logitech International S.A.,6.82,False,False,False,False,False,0.719,0.438,0.53,5.7,0.175,12.90,1.420,-1.31,Technology,Computer peripheral equipment,1.677992,1.856494,0.439,2.042091,2.316203,0.547,0.160,0.521,0.439,0.504,0.438,1.127,0.804
RELV,"Reliv' International, Inc.",1.24,False,False,False,True,False,0.170,0.080,0.53,5.7,0.176,2.34,0.256,-0.22,Consumer Durables,Major Pharmaceuticals,0.024419,0.024419,0.000,0.073879,0.07388,0.000,0.017,0.073,0.618,0.080,0.081,0.281,0.238
NOG,"Northern Oil and Gas, Inc.",16.34,False,False,True,False,False,0.308,0.120,0.53,5.8,0.173,30.79,3.430,-3.51,Energy,Oil & Gas Production,0.725593,0.725594,0.000,0.159724,0.159725,0.000,4.917,2.152,0.877,0.276,0.699,0.137,0.120
TKC,Turkcell Iletisim Hizmetleri AS,15.59,True,True,False,False,False,0.229,0.150,0.53,5.3,0.187,29.22,2.923,-0.02,Public Utilities,Telecommunications Equipment,17.183995,9.098801,2.761,9.428663,5.609679,2.255,0.397,0.161,0.340,0.150,0.194,0.241,0.331
CBR,"Ciber, Inc.",3.42,False,False,False,True,False,0.731,-0.060,0.54,6.8,0.148,6.37,0.913,-2.75,Technology,EDP Services,0.62507,0.62507,0.000,0.976926,0.976926,0.000,0.247,0.119,0.821,0.636,-0.060,1.012,1.338
RIC,"Richmont Mines, Inc.",3.14,False,False,False,True,False,0.170,-0.034,0.54,4.7,0.214,5.84,0.507,0.77,Basic Industries,Precious Metals,0.16799,0.164979,0.079,0.11859,0.116465,0.079,0.728,0.267,1.103,0.415,0.193,-0.034,0.109
SWIR,"Sierra Wireless, Inc.",11.47,False,False,False,True,False,0.601,-0.202,0.54,5.7,0.177,21.28,2.262,-1.34,Technology,Radio And Television Broadcasting And Communications Equipment,0.430604,0.422887,0.079,0.572048,0.578185,0.046,0.930,0.962,1.590,0.098,-0.202,0.550,1.956
ATNI,"Atlantic Tele-Network, Inc.",43.4,False,False,False,False,False,0.211,0.117,0.54,6.7,0.150,80.09,11.043,-30.35,Public Utilities,Telecommunications Equipment,0.873731,0.873731,0.000,0.759196,0.759196,0.000,1.169,0.945,0.313,0.117,0.214,0.262,0.253
LOPE,"Grand Canyon Education, Inc.",24.23,False,False,False,False,False,0.894,0.325,0.55,5.6,0.177,44.34,4.607,-1.73,Consumer Services,Other Consumer Services,0.317847,0.317847,0.000,0.426741,0.426741,0.000,1.843,0.645,0.569,0.763,1.222,1.357,0.234
UPG,Universal Power Group Inc,1.809,False,False,False,True,False,0.943,-0.254,0.55,8.0,0.125,3.30,0.749,-4.19,Consumer Non-Durables,Telecommunications Equipment,0.044075,0.044075,0.000,0.089274,0.089274,0.000,0.435,0.459,1.197,1.705,-0.452,2.001,0.519
PETS,"PetMed Express, Inc.",12.91,False,False,True,False,False,4.678,4.483,0.55,5.0,0.199,23.35,2.099,2.36,Health Care,Medical/Nursing Services,0.091064,0.091064,0.000,0.23825,0.23825,0.000,0.675,1.279,0.195,3.444,4.871,4.759,5.637
ICFI,"ICF International, Inc.",23.07,False,False,False,False,False,1.794,1.642,0.55,6.7,0.149,41.65,5.688,-15.23,Consumer Services,Professional Services,0.694615,0.694615,0.000,0.840775,0.840775,0.000,1.139,0.613,0.152,1.492,1.728,1.804,2.150
UTI,Universal Technical Institute Inc,11.81,False,False,False,True,False,0.269,0.016,0.55,5.7,0.174,21.31,2.225,-0.94,Consumer Services,Other Consumer Services,0.268158,0.268158,0.000,0.413552,0.413552,0.000,0.535,0.296,0.669,0.016,0.298,0.440,0.322
TNS,"TNS, Inc.",20.94,False,False,False,False,False,0.358,0.185,0.56,7.0,0.142,37.56,5.611,-18.56,Miscellaneous,Business Services,0.601768,0.601768,0.000,0.557723,0.557723,0.000,0.932,0.728,0.336,0.185,0.376,0.460,0.410
TSU,TIM Participacoes S.A.,22.14,True,True,False,True,False,0.145,0.087,0.56,6.8,0.147,39.58,5.439,-14.81,Public Utilities,Telecommunications Equipment,23.438221,12.565726,2.707,17.085977,9.160154,2.707,0.502,0.122,0.315,0.189,0.087,0.132,0.174
PDLI,"PDL BioPharma, Inc.",6.875,False,False,True,False,False,21.691,21.023,0.56,6.2,0.162,12.29,1.417,-1.88,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),0.269471,0.269471,0.000,0.362041,0.362041,0.000,-4.129,8.221,0.668,30.299,26.467,29.889,0.108
HBM,HudBay Minerals Inc,11.65,False,False,False,True,False,0.186,0.023,0.56,5.2,0.191,20.81,1.925,1.56,Basic Industries,Precious Metals,2.44882,2.186973,0.491,0.889825,0.783795,0.551,1.046,0.778,0.869,0.191,0.124,0.023,0.405
JAKK,"JAKKS Pacific, Inc.",13.11,False,False,False,True,False,0.588,-0.001,0.56,5.3,0.189,23.35,2.173,1.63,Consumer Non-Durables,Recreational Products/Toys,0.615234,0.615234,0.000,0.677751,0.677751,0.000,0.341,0.748,0.861,0.363,0.850,-0.001,1.138
DVR,"Cal Dive International, Inc.",1.94,False,False,False,True,False,0.092,-0.086,0.56,7.9,0.127,3.44,0.714,-3.70,Energy,Oilfield Services/Equipment,0.70494,0.70494,0.000,0.479811,0.479811,0.000,0.153,0.349,1.812,-0.086,-0.007,0.274,0.187
RTLX,Retalix Ltd.,29.8645,True,True,False,True,False,0.608,0.009,0.57,4.8,0.209,52.79,4.403,8.76,Technology,Computer Software: Prepackaged Software,1.26979,None,N/A,0.844595,0.23604,5.537,0.260,0.481,0.829,0.403,0.871,1.147,0.009
JCTCF,Jewett-Cameron Trading Company,16.17,False,False,False,False,False,0.804,0.378,0.57,5.2,0.192,28.50,2.573,2.77,Consumer Services,RETAIL: Building Materials,0.020439,0.020439,0.000,0.045945,0.045946,0.000,0.140,0.152,0.426,1.153,0.353,0.750,0.961
INTX,"Intersections, Inc.",10.02,False,False,False,False,False,0.462,0.190,0.57,6.0,0.166,17.64,1.920,-1.56,Technology,EDP Services,0.166751,0.166751,0.000,0.373001,0.373001,0.000,0.360,0.205,0.643,0.634,0.790,0.190,0.232
NVO,Novo Nordisk A/S,190.59,True,True,False,False,False,0.506,0.393,0.57,5.9,0.170,335.03,35.176,-16.72,Consumer Durables,Major Pharmaceuticals,64.698,9.589269,8.291,66.346,8.632294,8.857,0.231,0.183,0.177,0.586,0.569,0.475,0.393
CBEY,"Cbeyond, Inc.",8.9,False,False,False,True,False,0.110,0.092,0.57,6.2,0.160,15.60,1.786,-2.26,Public Utilities,Telecommunications Equipment,0.241072,0.241072,0.000,0.485422,0.485422,0.000,0.784,0.176,0.136,0.092,0.125,0.102,0.119
SBS,Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp,45.27,True,True,True,False,False,4.002,2.863,0.57,8.2,0.122,79.32,18.834,-109.02,Public Utilities,Water Supply,25.214984,13.518287,2.707,9.941637,5.329922,2.707,-3.974,8.482,1.139,7.636,8.253,0.079,0.040
PCTI,"PC-Tel, Inc.",7.66,False,False,False,True,False,0.766,-0.028,0.57,4.8,0.210,13.33,1.084,2.49,Technology,Radio And Television Broadcasting And Communications Equipment,0.134067,0.133464,0.020,0.076844,0.076844,0.000,0.455,0.309,1.602,0.230,-0.028,0.266,2.597
AAWW,Atlas Air Worldwide Holdings,45.18,False,False,True,True,False,0.164,0.080,0.58,7.2,0.139,78.47,11.835,-39.87,Transportation,Transportation Services,2.390998,2.390998,0.000,1.398216,1.398216,0.000,1.117,1.172,0.482,0.080,0.271,0.148,0.158
CENTA,Central Garden & Pet Company,9.46,True,True,False,False,False,0.333,0.102,0.58,7.6,0.131,16.34,2.895,-12.61,Consumer Durables,Consumer Specialties,1.149547,None,N/A,1.700013,None,N/A,0.277,0.176,0.798,0.159,0.102,0.384,0.687
CENT,Central Garden & Pet Company,9.54,False,False,False,False,False,0.333,0.102,0.58,7.6,0.131,16.34,2.895,-12.61,Consumer Durables,Consumer Specialties,1.149547,1.149547,0.000,1.700013,1.700013,0.000,0.277,0.176,0.798,0.159,0.102,0.384,0.687
AVAV,"AeroVironment, Inc.",21.66,False,False,False,False,False,1.119,0.565,0.59,5.5,0.183,37.02,3.383,3.19,Capital Goods,Aerospace,0.369151,0.369151,0.000,0.325008,0.325008,0.000,1.122,0.376,0.554,0.503,0.829,1.199,1.946
FRX,"Forest Laboratories, Inc.",36.48,False,False,False,False,False,2.276,2.181,0.59,5.7,0.175,62.28,5.998,2.30,Consumer Durables,Major Pharmaceuticals,7.491755,7.491755,0.000,4.392548,4.56568,0.168,0.230,0.137,0.094,2.574,2.287,2.098,2.143
DBLE,Double Eagle Petroleum Company,4.87,False,False,False,True,False,0.083,0.041,0.59,8.0,0.126,8.29,1.672,-8.43,Energy,Oil & Gas Production,0.170594,0.170594,0.000,0.039462,0.049963,1.025,0.882,0.776,0.779,0.056,0.055,0.041,0.179
GSIT,"GSI Technology, Inc.",6.7,False,False,False,False,False,0.925,0.562,0.59,5.3,0.190,11.26,0.962,1.65,Technology,Semiconductors,0.143117,0.143117,0.000,0.08254,0.08254,0.000,0.812,0.928,0.404,0.562,0.699,1.045,1.396
CRWS,"Crown Crafts, Inc.",5.2,False,False,False,False,False,2.725,2.332,0.59,6.4,0.157,8.74,0.973,-0.99,Basic Industries,Textiles,0.044661,0.044661,0.000,0.085306,0.085306,0.000,0.103,0.224,0.393,2.977,1.239,3.795,2.890
DISH,DISH Network Corporation,37.68,False,False,True,False,False,0.388,0.273,0.60,7.7,0.130,63.03,10.939,-46.36,Consumer Services,Television Services,11.540926,11.470231,0.027,14.048393,14.048393,0.000,-0.258,1.011,0.226,0.486,0.388,0.405,0.273
NPD,China Nepstar Chain Drugstore Ltd,1.6,False,False,False,False,False,0.359,0.199,0.60,5.4,0.186,2.67,0.231,0.36,Health Care,Medical/Nursing Services,0.308576,0.308579,0.000,0.386399,0.39582,0.105,0.353,0.957,0.615,0.199,0.243,0.683,0.311
DTSI,"DTS, Inc.",19.27,False,False,True,False,False,1.165,0.740,0.60,5.5,0.182,31.90,2.806,3.84,Miscellaneous,Multi-Sector Companies,0.15947,0.15947,0.000,0.096922,0.096922,0.000,1.358,1.825,0.497,0.740,1.082,0.831,2.007
GIGM,GigaMedia Limited,1.08,False,False,True,True,False,0.167,-1.055,0.60,-8.0,-0.125,1.79,0.039,1.39,Technology,"Computer Software: Programming, Data Processing",0.191706,0.191706,0.000,0.034395,0.034395,0.000,-1.047,1.304,6.516,-1.055,-0.161,0.328,1.556
FCN,"FTI Consulting, Inc.",32.2,False,False,False,False,False,1.813,1.498,0.60,7.3,0.137,53.23,7.851,-25.28,Consumer Services,Professional Services,2.411084,2.411084,0.000,1.566768,1.566768,0.000,0.449,0.293,0.315,1.257,1.387,2.349,2.259
VNDA,Vanda Pharmaceuticals Inc.,3.99,False,False,False,True,False,4.610,-1.510,0.61,6.1,0.165,6.59,0.660,-0.01,Consumer Durables,Major Pharmaceuticals,0.182618,0.182618,0.000,0.03127,0.03127,0.000,0.424,0.630,6.120,-8.124,-2.509,45.990,-16.915
CTCM,"CTC Media, Inc.",10.65,False,False,False,False,False,3.716,3.479,0.61,6.2,0.162,17.53,1.795,-0.42,Consumer Services,Broadcasting,0.893101,0.893101,0.000,0.76636,0.76636,0.000,0.511,0.594,0.237,2.498,4.484,3.666,4.214
ERII,"Energy Recovery, Inc.",3.83,False,False,True,True,False,1.311,-0.174,0.61,5.8,0.173,6.30,0.587,0.43,Technology,Industrial Machinery/Components,0.110736,0.110713,0.001,0.028047,0.028047,0.000,2.120,3.380,1.485,-0.356,-0.096,3.818,1.877
CO,China Cord Blood Corporation.,2.61,False,False,False,True,False,0.464,0.004,0.61,5.7,0.177,4.25,0.378,0.47,Finance,Business Services,0.289639,0.28964,0.000,0.059482,0.060414,0.068,0.660,0.174,1.057,1.074,0.640,0.137,0.004
RGEN,Repligen Corporation,6.95,False,False,True,True,False,1.802,-0.045,0.61,6.0,0.168,11.31,1.078,0.53,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),0.076056,0.076057,0.000,0.031266,0.02345,1.249,1.274,1.395,1.847,0.171,-0.516,0.827,6.725
RSYS,RadiSys Corporation,3.95,False,False,False,True,False,0.442,0.025,0.62,7.4,0.136,6.41,0.933,-2.92,Technology,Computer peripheral equipment,0.294492,0.294492,0.000,0.330865,0.330865,0.000,0.232,0.415,1.104,0.025,0.187,1.131,0.424
NTL,"Nortel Inversora SA, ADR",16.15,False,False,False,True,False,0.059,0.037,0.62,7.0,0.143,26.19,3.314,-6.95,Public Utilities,Telecommunications Equipment,3.460704,3.576,0.142,4.473972,4.311,0.161,-0.033,0.123,0.399,0.091,0.061,0.037,0.047
VCI,"Valassis Communications, Inc.",28.75,False,False,False,True,False,0.553,0.078,0.62,7.6,0.131,46.51,7.438,-27.87,Consumer Services,Advertising,1.644447,1.644447,0.000,2.235959,2.235959,0.000,0.045,0.164,0.969,0.412,1.322,0.398,0.078
MCF,Contango Oil & Gas Company,42.6,True,False,False,True,False,0.187,0.092,0.62,6.3,0.159,68.75,7.074,-2.00,Energy,Oil & Gas Production,0.624654,None,N/A,0.179272,0.179272,0.000,0.264,0.324,0.355,0.092,0.218,0.244,0.194
USMO,"USA Mobility, Inc.",11.78,False,False,False,False,False,0.349,0.247,0.62,6.6,0.152,19.01,2.101,-2.00,Public Utilities,Telecommunications Equipment,0.35006,0.35006,0.000,0.242907,0.242907,0.000,-0.650,0.132,0.326,0.291,0.247,0.348,0.508
CRV,"Coast Distribution System, Inc. (The)",2.1,False,False,False,True,False,0.239,-0.185,0.62,7.9,0.127,3.38,0.611,-2.73,Capital Goods,Automotive Aftermarket,0.047835,0.047736,0.009,0.108195,0.108195,0.000,-0.147,0.205,2.025,-0.174,-0.185,0.678,0.638
EXFO,EXFO Inc,5.79,False,False,False,True,False,0.273,0.021,0.62,6.0,0.166,9.31,0.884,0.47,Capital Goods,Electrical Products,0.30265,0.306683,0.057,0.252323,0.249966,0.041,0.513,0.447,0.632,0.303,0.402,0.021,0.365
CRAI,"CRA International,Inc.",19.0,False,False,False,False,False,0.555,0.233,0.63,6.6,0.152,30.28,3.301,-2.73,Miscellaneous,Other Consumer Services,0.372343,0.372107,0.003,0.305228,0.305228,0.000,-0.006,0.385,0.513,0.676,0.233,0.426,0.884
ENSG,"The Ensign Group, Inc.",28.87,False,False,False,False,False,0.269,0.225,0.63,7.1,0.140,45.98,5.939,-13.41,Health Care,Hospital/Nursing Management,0.596339,0.596339,0.000,0.758277,0.758277,0.000,1.319,0.511,0.228,0.225,0.225,0.270,0.355
MSFT,Microsoft Corporation,27.93,False,False,False,False,False,1.890,1.863,0.63,6.2,0.161,44.37,4.340,0.97,Technology,Computer Software: Prepackaged Software,121.271,121.271,0.000,73.696,73.723,0.002,0.464,0.233,0.027,1.952,1.863,1.911,1.836
NTWK,NetSol Technologies Inc.,7.26,False,False,False,True,False,0.357,-0.019,0.63,6.6,0.151,11.52,1.259,-1.06,Technology,Computer Software: Prepackaged Software,0.093466,0.091347,0.100,0.039775,0.039776,0.000,0.590,0.846,0.918,0.228,0.745,0.472,-0.019
KLIC,"Kulicke and Soffa Industries, Inc.",11.65,False,False,False,True,False,1.233,-0.082,0.63,5.4,0.184,18.44,1.486,3.57,Technology,Semiconductors,0.815609,0.815609,0.000,0.791023,0.791023,0.000,0.050,0.334,1.315,2.245,2.736,0.818,-0.870
PWER,"Power-One, Inc.",3.88,False,False,True,True,False,0.774,-0.213,0.64,6.6,0.151,6.06,0.650,-0.43,Capital Goods,Industrial Machinery/Components,0.798791,0.743516,0.311,1.022578,1.016711,0.025,-0.318,1.343,1.166,0.371,1.881,1.057,-0.213
FMX,Fomento Economico Mexicano S.A.B. de C.V.,110.99,True,True,True,True,False,0.151,0.092,0.64,7.9,0.127,172.96,29.426,-121.29,Consumer Non-Durables,Beverages (Production/Distribution),223.578,None,N/A,168.376,14.55,10.634,-0.433,1.416,0.445,0.244,0.092,0.155,0.113
WTW,Weight Watchers International Inc,53.25,False,False,False,False,False,4.349,4.220,0.64,7.3,0.137,82.94,10.960,-26.66,Consumer Services,Other Consumer Services,1.121628,1.121628,0.000,1.819156,1.819156,0.000,0.625,0.415,0.130,4.816,3.541,4.408,4.632
PERF,"Perfumania Holdings, Inc",6.4,False,False,True,True,False,0.690,-0.348,0.64,8.5,0.117,9.97,2.434,-14.37,Consumer Services,Other Specialty Stores,0.286755,0.286755,0.000,0.493507,0.493507,0.000,1.753,3.436,1.564,0.568,-0.348,2.200,0.340
JOY,Joy Global Inc.,64.15,False,False,False,False,False,1.059,0.829,0.64,7.3,0.137,99.64,13.019,-30.55,Energy,Industrial Machinery/Components,6.142503,6.142503,0.000,5.660429,5.660889,0.000,1.054,0.448,0.230,0.729,1.021,1.234,1.251
NTLS,NTELOS Holdings Corp.,12.95,False,False,True,True,False,0.184,0.098,0.64,8.5,0.118,20.10,4.708,-26.97,Public Utilities,Telecommunications Equipment,0.697944,0.62799,0.459,0.422629,0.422629,0.000,-0.073,1.309,0.398,0.098,0.153,0.220,0.264
GPN,Global Payments Inc.,49.25,False,False,False,False,False,1.381,0.500,0.65,6.7,0.149,76.21,8.207,-5.86,Miscellaneous,Business Services,2.688143,2.688143,0.000,2.203847,2.203847,0.000,0.529,0.537,0.882,-0.324,2.553,1.760,1.536
VPHM,ViroPharma Incorporated,26.85,False,False,True,False,False,12.805,12.518,0.65,6.5,0.155,41.43,4.122,0.21,Consumer Durables,Major Pharmaceuticals,1.336797,1.336797,0.000,0.544374,0.544374,0.000,0.502,1.455,0.286,12.851,17.173,12.995,8.199
ENG,ENGlobal Corporation,0.66,False,False,False,True,False,0.462,-0.800,0.65,8.7,0.116,1.01,0.262,-1.61,Consumer Services,Military/Government/Technical,0.104179,0.104179,0.000,0.312747,0.312747,0.000,-0.024,0.432,2.104,0.195,-0.800,1.266,1.186
APT,"Alpha Pro Tech, Ltd.",1.64,False,False,False,True,False,0.428,-0.380,0.65,6.1,0.164,2.51,0.223,0.28,Health Care,Industrial Specialties,0.03687,0.03687,0.000,0.038502,0.038502,0.000,0.330,0.237,1.595,0.306,-0.380,1.280,0.508
SAI,SAIC Inc,12.18,False,False,False,False,False,1.193,1.101,0.65,7.6,0.131,18.61,2.695,-8.34,Technology,EDP Services,6.667,6.667,0.000,10.587,10.587,0.000,0.123,0.260,0.092,1.185,1.299,1.245,1.044
SCHL,Scholastic Corporation,30.41,False,False,False,False,False,0.271,0.165,0.66,7.6,0.131,46.33,6.650,-20.16,Consumer Services,Books,1.6703,1.6703,0.000,2.1488,2.1488,0.000,-0.013,0.336,0.289,0.303,0.268,0.350,0.165
CAAS,"China Automotive Systems, Inc.",5.65,False,True,False,False,False,0.246,0.151,0.66,7.9,0.127,8.61,1.412,-5.51,Capital Goods,Auto Parts:O.E.M.,0.466447,0.466447,0.000,0.347974,0.69595,3.010,0.857,0.210,0.402,0.171,0.320,0.343,0.151
